"""ID""",Thumbnail,Name,Type,"Attribute Set",SKU,Price,Quantity,Visibility,Status,Websites,Action
5669,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8046-8.jpg,"Gel-U-Seat Gel/Foam Cushion, 20"" x 24"" x 3""",simple,113,8046-8,73.000000,0.0000,1,1,1," -"
5670,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8046-10.jpg,"Gel-U-Seat Gel/Foam Cushion, 20"" x 26"" x 3""",simple,113,8046-10,78.990000,0.0000,1,1,1," -"
5671,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8046-10.jpg,"Gel-U-Seat Gel/Foam Cushion",configurable,113,804610,80.000000,0.0000,3,1,1," -"
5672,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-1.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 16"" x 16"" x 2""",simple,113,8040-1,35.000000,1583.0000,1,1,1," -"
5673,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-2.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 16"" x 18"" x 2""",simple,113,8040-2,36.000000,5060.0000,1,1,1," -"
5674,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-3.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 16"" x 20"" x 2""",simple,113,8040-3,39.000000,0.0000,1,1,1," -"
5675,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-6.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 16"" x 22"" x 2""",simple,113,8040-6,57.000000,150.0000,5,1,1," -"
5676,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-8.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 16"" x 24"" x 2""",simple,113,8040-8,61.000000,0.0000,1,1,1," -"
5677,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-5.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 18"" x 18"" x 2""",simple,113,8040-5,38.000000,1016.0000,1,1,1," -"
5678,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-4.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 18"" x 20"" x 2""",simple,113,8040-4,39.000000,0.0000,1,1,1," -"
5679,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-7.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 18"" x 22"" x 2""",simple,113,8040-7,58.000000,0.0000,1,1,1," -"
5680,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-9.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 18"" x 24"" x 2""",simple,113,8040-9,61.000000,0.0000,1,1,1," -"
5681,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-10.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover, 20"" x 20"" x 2""",simple,113,8040-10,44.340000,100000.0000,1,1,1," -"
5682,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8040-10.jpg,"Gel-U-Seat Lite General Use Gel Cushion with Stretch Cover",configurable,113,GELUSEAT,40.000000,0.0000,4,1,1," -"
5683,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8033.jpg,"General Use Back Cushion with Lumbar Support",simple,113,8033,74.950000,611.0000,4,1,1," -"
5684,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8084.jpg,"Invalid Ring, 14""",simple,113,8084,25.000000,0.0000,5,1,1," -"
5685,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8085.jpg,"Invalid Ring, 16""",simple,113,8085,26.000000,0.0000,1,1,1," -"
5686,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8086.jpg,"Invalid Ring, 18""",simple,113,8086,28.990000,0.0000,1,1,1," -"
5687,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8086.jpg,"Invalid Ring",configurable,113,8086,30.000000,0.0000,4,1,1," -"
5688,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/8/0/8083.jpg,"Lumbar Cushion",simple,113,8083,42.000000,150.0000,5,1,1," -"
5689,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/1/4/14880.jpg,"Molded General Use 1 3/4"" Wheelchair Seat Cushion, 16"" Wide",simple,113,14880,37.000000,0.0000,1,1,1," -"
5690,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/1/4/14887.jpg,"Molded General Use 1 3/4"" Wheelchair Seat Cushion, 18"" Wide",simple,113,14887,37.000000,0.0000,1,1,1," -"
5691,https://master-7rqtwti-fejwvdfbssgmg.us-5.magentosite.cloud/media/catalog/product/cache/349954e840b7894e0619c9076a057af0/1/4/14881.jpg,"Molded General Use 1 3/4"" Wheelchair Seat Cushion, 20"" Wide",simple,113,14881,44.990000,0.0000,1,1,1," -"
